GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
20548,26024,2010/12/31,2010,INDL,C,D,STD,COG,CABOT OIL & GAS CORP,USD,203.008,4005.031,857.251,103.911,0,975,12.467,303.835,505.428,198.498,3762.76,,0,1144.708,844.035,0.801,714.953,,103.702,A,3936.7028,37.85,101020,10102020,2111,1311,380,0.00156641194115834,3936.7028,0.255271054514637
1682,26215,2010/12/31,2010,INDL,C,D,STD,APAGF,APCO OIL AND GAS INTL INC,USD,55.975,248.189,33.829,29.441,0,0,2.355,16.022,37.615,35.528,106.905,0,0,219.844,87.815,0,0,,15.603,I,1692.8575,57.5,101020,10102020,211111,1311,380,0.000162972465138081,1692.8575,0.376656200592335
12821,27301,2010/12/31,2010,INDL,C,D,STD,NGAS,NGAS RESOURCES INC,USD,19.804,204.92,10.315,39.318,53.299,5.953,0,67.613,4.644,-22.518,184.107,0,0,-24.421,50.82,4.702,9.535,,12.996,I,33.5832,0.56,101020,10102020,211111,1311,380,9.4314874205059e-05,33.5832,0.0550711948020053
7309,27321,2011/03/31,2010,INDL,C,D,STD,MXC,MEXCO ENERGY CORP,USD,0.67,15.948,2.437,1.948,0,1.8,0,0.2,1.258,0.14,15.278,0.012,0,5.312,3.162,0.534,0.912,,0.878,A,26.6945,13.15,101020,10102020,211120,1311,380,5.86823361346707e-06,26.6945,0.183924528301887
14316,27937,2010/12/31,2010,INDL,C,D,STD,TLM,TALISMAN ENERGY INC,CAD,3208,24193,6054,1018,377,3899,254,3401,3477,1168,18804,78,0,7890,6802,57,3974,,899,I,22546.7169,22.12,101020,10102020,211111,1311,380,0.0126235689559782,22546.7169,0.320080363751718
28564,29930,2010/12/31,2010,INDL,C,D,STD,SGY,STONE ENERGY CORP,USD,248.447,1679.09,404.716,47.681,0,575,0,218.065,444.237,152.711,1408.531,0,0,-900.761,654.268,0,99.227,,42.759,I,1064.3029,22.29,101020,10102020,211111,1311,380,0.0012142306988665,1064.3029,0.338528300750471
29173,30044,2010/12/31,2010,INDL,C,D,STD,NFX,NEWFIELD EXPLORATION CO,USD,731,7494,1971,132,0,2304,0,928,1277,829,6608,14,0,1933,1883,34,720,,156,I,9680.4791,72.11,101020,10102020,211111,1311,380,0.00349458693679902,9680.4791,0.375643224699828
25495,30882,2010/12/31,2010,INDL,C,D,STD,DYN.2,DYNEGY INC,USD,2244,10013,333,120,148,4626,0,1565,555,-432,6273,0,0,-3251,2323,0,641,,137,I,680.3516,5.62,551050,55105010,221112,1311,710,0.00431116593424541,680.3516,0.0467893775467191
22008,33788,2010/12/31,2010,INDL,C,D,STD,TVLYQ,TRI-VALLEY CORP,USD,5.375,14.687,1.993,36.659,0.134,0.455,0,7.872,-9.037,-8.666,6.72,0.025,4.385,-61.123,1.757,5.331,0,,9.147,I,25.483,0.57,101020,10102020,211111,1311,380,3.26074840571209e-06,25.483,0.243643031784841
112876,34829,2010/12/31,2010,INDL,C,D,STD,EPD,ENTERPRISE PRODCT PARTNRS LP,USD,5507.1,31360.8,2040.8,274.5,282.3,13281.2,307.7,5880.2,2947.9,1409.8,19332.9,3.8,0,,33739.3,528.5,78,,180.3,A,35105.608,41.61,101020,10102040,486210,1311,380,0.0626154631103256,35105.608,0.115369830178866
