date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2015-07-01T00:00:00Z,Permian,105943.478054,101249.48,223345.642846,184571.03
2015-08-01T00:00:00Z,Permian,114800.512334,101424.38,237996.96749,184744.21
2015-09-01T00:00:00Z,Permian,114404.666735,101513.13,230419.858153,184624.88
2015-10-01T00:00:00Z,Permian,107134.480674,101497.89,207557.74962,184761.16
2015-11-01T00:00:00Z,Permian,105199.21836,101381.39,197221.531186,186341.12
2015-12-01T00:00:00Z,Permian,99220.75716,101210.07,173880.99939,189225.53
2016-01-01T00:00:00Z,Permian,99925.443426,101065.62,179361.419438,192719.85
2016-02-01T00:00:00Z,Permian,91711.47753,100752.08,164820.510585,194966.99
2016-03-01T00:00:00Z,Permian,89644.308272,100223.22,164596.6884,195685.65
2016-04-01T00:00:00Z,Permian,90189.500036,99388.228,169717.6378,194331.52
2016-05-01T00:00:00Z,Permian,95152.659931,98660.185,186337.65245,190943.53
2016-06-01T00:00:00Z,Permian,104961.40433,98355.546,219291.4895,185570.38
2016-07-01T00:00:00Z,Permian,119104.83567,98654.997,241421.77494,178982.89
2016-08-01T00:00:00Z,Permian,137328.043468,99501.832,278316.94891,172336.35
2016-09-01T00:00:00Z,Permian,142914.737888,100772.63,287411.84139,168060.13
2016-10-01T00:00:00Z,Permian,141350.410858,102190.94,281821.98534,167593.97
2016-11-01T00:00:00Z,Permian,143460.051678,103907.69,283941.82728,171035.97
2016-12-01T00:00:00Z,Permian,153910.407168,105955.29,303458.0598,177274.99
2017-01-01T00:00:00Z,Permian,162245.037564,108670.2,319494.00372,184868.07
2017-02-01T00:00:00Z,Permian,172682.9517,111828.54,342628.317,193677.65
2017-03-01T00:00:00Z,Permian,175666.54587,114676.46,354305.7208,202808.47
2017-04-01T00:00:00Z,Permian,186513.83624,118188.12,384667.02229,212534.85
2017-05-01T00:00:00Z,Permian,193893.795508,122163.26,406277.75184,219826.95
